keyword_name,lowest_lag_after_diff_Google_grangerCauses_Wikipedia
Hessen,6.0
Hilfe,4.0
Hinteregger,4.0
Hitze,2.0
Hochzeit,5.0
Hoeneß,1.0
Hoffnung,6.0
Hohe,4.0
Holland,5.0
Hollywood,3.0
Hotel,4.0
Hummels,6.0
Hund,3.0
Hunger,3.0
Höchststand,2.0
Hölle,4.0
Hütter,2.0
Idee,3.0
Ihnen,1.0
Impfen,4.0
Impfpflicht,5.0
Impfstoff,6.0
Impfung,5.0
Indien,3.0
Industrie,5.0
Ingolstadt,3.0
Innenstadt,3.0
Insel,4.0
Insider,7.0
Instagram,3.0
Interesse,5.0
Internet,3.0
Invasion,2.0
Investor,5.0
Island,5.0
Ist,5.0
Jahr,5.0
James,5.0
Jan,5.0
Japan,3.0
Job,1.0
John,3.0
Johnson,6.0
Jubiläum,3.0
Jugend,3.0
Jugendliche,4.0
Julia,5.0
Julian,2.0
Junge,2.0
Jäger,3.0
Kahn,3.0
Kaiserslautern,7.0
Kalenderblatt,6.0
Kanada,7.0
Kandidaten,5.0
Kanzler,3.0
Karl,3.0
Karlsruhe,3.0
Karneval,7.0
Karriere,4.0
Kassel,3.0
Katar,2.0
Kate,4.0
Katze,3.0
Katzen,3.0
Keller,4.0
Kerber,2.0
Kids,5.0
Kiel,3.0
Kiew,2.0
Kilo,2.0
Kilogramm,7.0
Kim,1.0
Kind,4.0
Kinder,5.0
Kino,5.0
Kirche,5.0
Klaus,5.0
Klimaschutz,5.0
Klimawandel,5.0
Klingbeil,3.0
Klitschko,7.0
Klopp,2.0
Knapp,6.0
Koalition,5.0
Kolumbien,4.0
Kolumne,3.0
Konflikt,7.0
Kontrolle,4.0
Konzept,5.0
Konzert,5.0
Kopf,3.0
Kosten,3.0
Kraft,3.0
Kramer,5.0
Krankheit,5.0
Krefeld,5.0
Kreml,4.0
Kreuz,4.0
Kriegsverbrechen,3.0
Krise,7.0
Kritik,3.0
Kroos,2.0
Kruse,1.0
Kultur,5.0
Kunden,6.0
Kunst,3.0
Kusel,2.0
Kutschaty,5.0
Köln,3.0
Kölner,1.0
König,4.0
Königin,5.0
Körper,7.0
Künstler,4.0
Küste,3.0
Lage,2.0
Lambrecht,1.0
Landes,4.0
Landgericht,3.0
Landkreis,7.0
Landrat,1.0
Landratsamt,5.0
Landtag,1.0
Landtagswahl,1.0
Lange,3.0
Laster,3.0
Laura,4.0
Lautern,5.0
League,7.0
Leben,3.0
Lebensmittel,4.0
Lehrer,4.0
Leitl,2.0
Leute,3.0
Lewandowski,2.0
Leyen,7.0
Licht,3.0
Liebe,3.0
Lieferung,6.0
Lindner,4.0
Litauen,3.0
Liter,3.0
Lob,7.0
Loch,3.0
Lockdown,5.0
Lok,3.0
London,3.0
Los,7.0
Love,3.0
Luca-App,7.0
Ludwigsburg,4.0
Luft,3.0
Lufthansa,6.0
Lust,4.0
Länder,6.0
Lösung,4.0
Löwen,1.0
Lübeck,3.0
Macht,3.0
Macron,7.0
Madrid,7.0
Magath,1.0
Magdeburg,3.0
Mai,4.0
Maier,4.0
Mailand,7.0
Manchester,7.0
Mann,1.0
Mannheim,3.0
Mané,1.0
Marihuana,3.0
Mariupol,5.0
Markt,3.0
Markus,3.0
Marx,6.0
Maske,3.0
Masken,3.0
Maskenpflicht,5.0
Massaker,1.0
Max,7.0
Mbappé,3.0
Mecklenburg-Vorpommern,3.0
Medaille,1.0
Medien,5.0
Medwedew,4.0
Meer,3.0
Mehrfamilienhaus,6.0
Mehrheit,6.0
Mein,5.0
Meine,5.0
Meister,3.0
Melnyk,5.0
Mensch,3.0
Menschen,3.0
Mercedes,3.0
Messe,5.0
Messi,4.0
Metall,4.0
Meter,6.0
Mexiko,4.0
Mieter,1.0
Mike,3.0
Militär,3.0
Million,3.0
Mindestlohn,2.0
Minister,4.0
Ministerium,5.0
Ministerpräsident,3.0
Minus,5.0
Mio,3.0
Miss,4.0
Missbrauch,7.0
Mission,3.0
Mitarbeiter,4.0
Mitte,4.0
Mitten,3.0
Mittwoch,6.0
Model,3.0
Moment,6.0
Monaco,1.0
Monat,3.0
Montag,7.0
Morgen,3.0
Motiv,5.0
Motorrad,4.0
Motorradfahrer,2.0
Museum,3.0
Musik,3.0
Musk,5.0
Mut,4.0
Männer,5.0
Müll,4.0
Müller,4.0
München,4.0
Münchner,6.0
Münster,3.0
Müssen,5.0
Nachfolger,4.0
Nachfrage,4.0
Nachhaltigkeit,3.0
Nachrichten,4.0
Nacht,3.0
Nadal,5.0
Nagelsmann,2.0
Name,5.0
Nationalspieler,7.0
Nato,1.0
Natur,4.0
Nawalny,6.0
Nein,6.0
Netflix,5.0
Neun,3.0
Neun-Euro-Ticket,7.0
New,3.0
Nichts,3.0
Niederlage,2.0
Niedersachsen,7.0
Niveau,5.0
Nkunku,2.0
Norden,3.0
Nordkorea,4.0
Nordrhein-Westfalen,5.0
Norwegen,4.0
Not,4.0
Nur,3.0
