keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ssr_ftest_pValue_lag1_before_diff,ssr_ftest_pValue_lag2_before_diff,ssr_ftest_pValue_lag3_before_diff,ssr_ftest_pValue_lag4_before_diff,ssr_ftest_pValue_lag5_before_diff,ssr_ftest_pValue_lag6_before_diff,ssr_ftest_pValue_lag7_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff,ssr_ftest_pValue_lag2_after_diff,ssr_ftest_pValue_lag3_after_diff,ssr_ftest_pValue_lag4_after_diff,ssr_ftest_pValue_lag5_after_diff,ssr_ftest_pValue_lag6_after_diff,ssr_ftest_pValue_lag7_after_diff,lowest_lag{diff_status}
Gefahr,-1.777508995077598,0.3916836280257202,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-1.777508995077598,0.3916836280257202,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,True,True,0.0804,0.0991,0.2778,0.3638,0.3046,0.3987,0.3925,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0804,0.0991,0.2778,0.3638,0.3046,0.3987,0.3925,
Gefahr,-1.777508995077598,0.3916836280257202,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-1.777508995077598,0.3916836280257202,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,True,True,0.0804,0.0991,0.2778,0.3638,0.3046,0.3987,0.3925,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0804,0.0991,0.2778,0.3638,0.3046,0.3987,0.3925,
Gefängnis,-10.447327547773376,1.4685574481115565e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.447327547773376,1.4685574481115565e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7316,0.7514,0.9064,0.9305,0.8836,0.9112,0.9417,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7316,0.7514,0.9064,0.9305,0.8836,0.9112,0.9417,
Gefängnis,-10.447327547773376,1.4685574481115565e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.447327547773376,1.4685574481115565e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7316,0.7514,0.9064,0.9305,0.8836,0.9112,0.9417,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7316,0.7514,0.9064,0.9305,0.8836,0.9112,0.9417,
Gegen,-12.139123188749926,1.6667326563714083e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.139123188749926,1.6667326563714083e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.4317,0.6223,0.5788,0.6071,0.7846,0.7678,0.7994,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4317,0.6223,0.5788,0.6071,0.7846,0.7678,0.7994,
Gegen,-12.139123188749926,1.6667326563714083e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.139123188749926,1.6667326563714083e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.4317,0.6223,0.5788,0.6071,0.7846,0.7678,0.7994,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4317,0.6223,0.5788,0.6071,0.7846,0.7678,0.7994,
Gegner,-10.492565194201347,1.1370094684435088e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.492565194201347,1.1370094684435088e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5647,0.7876,0.9586,0.7489,0.7937,0.8987,0.5172,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5647,0.7876,0.9586,0.7489,0.7937,0.8987,0.5172,
Gegner,-10.492565194201347,1.1370094684435088e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.492565194201347,1.1370094684435088e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5647,0.7876,0.9586,0.7489,0.7937,0.8987,0.5172,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5647,0.7876,0.9586,0.7489,0.7937,0.8987,0.5172,
Geiger,-2.9131867738502844,0.04383590404349689,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.9131867738502844,0.04383590404349689,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,False,0.0619,0.1836,0.2957,0.1047,0.0312,0.0289,0.0097,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0619,0.1836,0.2957,0.1047,0.0312,0.0289,0.0097,7.0
Geiger,-2.9131867738502844,0.04383590404349689,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.9131867738502844,0.04383590404349689,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,False,0.0619,0.1836,0.2957,0.1047,0.0312,0.0289,0.0097,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0619,0.1836,0.2957,0.1047,0.0312,0.0289,0.0097,7.0
Geld,-2.16535385976881,0.21905936822491062,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.16535385976881,0.21905936822491062,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,True,True,0.1374,0.0421,0.0511,0.084,0.2286,0.4283,0.305,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1374,0.0421,0.0511,0.084,0.2286,0.4283,0.305,2.0
Geld,-2.16535385976881,0.21905936822491062,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.16535385976881,0.21905936822491062,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,True,True,0.1374,0.0421,0.0511,0.084,0.2286,0.4283,0.305,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1374,0.0421,0.0511,0.084,0.2286,0.4283,0.305,2.0
Gerhard,-5.7894277529531415,4.911711596093792e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-5.7894277529531415,4.911711596093792e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,True,0.1997,0.497,0.6946,0.5033,0.6517,0.714,0.8116,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1997,0.497,0.6946,0.5033,0.6517,0.714,0.8116,
Gerhard,-5.7894277529531415,4.911711596093792e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-5.7894277529531415,4.911711596093792e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,True,0.1997,0.497,0.6946,0.5033,0.6517,0.714,0.8116,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1997,0.497,0.6946,0.5033,0.6517,0.714,0.8116,
Gericht,-2.7315652886716673,0.06873354890680412,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-2.7315652886716673,0.06873354890680412,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",False,False,False,True,0.9219,0.9676,0.5912,0.4443,0.4355,0.0747,0.0903,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9219,0.9676,0.5912,0.4443,0.4355,0.0747,0.0903,
Gericht,-2.7315652886716673,0.06873354890680412,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-2.7315652886716673,0.06873354890680412,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",False,False,False,True,0.9219,0.9676,0.5912,0.4443,0.4355,0.0747,0.0903,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9219,0.9676,0.5912,0.4443,0.4355,0.0747,0.0903,
Geschichte,-2.133360824629379,0.23131329955419477,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.133360824629379,0.23131329955419477,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,True,False,0.1532,0.3076,0.4964,0.4839,0.3266,0.5159,0.3909,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1532,0.3076,0.4964,0.4839,0.3266,0.5159,0.3909,
Geschichte,-2.133360824629379,0.23131329955419477,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.133360824629379,0.23131329955419477,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,True,False,0.1532,0.3076,0.4964,0.4839,0.3266,0.5159,0.3909,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1532,0.3076,0.4964,0.4839,0.3266,0.5159,0.3909,
Geschäft,-3.0770821750186848,0.0282963575431497,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-3.0770821750186848,0.0282963575431497,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,False,0.1024,0.1242,0.1716,0.2121,0.2753,0.4155,0.5812,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1024,0.1242,0.1716,0.2121,0.2753,0.4155,0.5812,
Geschäft,-3.0770821750186848,0.0282963575431497,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-3.0770821750186848,0.0282963575431497,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,False,0.1024,0.1242,0.1716,0.2121,0.2753,0.4155,0.5812,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1024,0.1242,0.1716,0.2121,0.2753,0.4155,0.5812,
Gesicht,-8.834087887282292,1.7380285785538608e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.834087887282292,1.7380285785538608e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.733,0.8749,0.6543,0.7505,0.8039,0.8447,0.7728,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.733,0.8749,0.6543,0.7505,0.8039,0.8447,0.7728,
Gesicht,-8.834087887282292,1.7380285785538608e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.834087887282292,1.7380285785538608e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.733,0.8749,0.6543,0.7505,0.8039,0.8447,0.7728,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.733,0.8749,0.6543,0.7505,0.8039,0.8447,0.7728,
Gewalt,-11.388311847299157,8.185513901063777e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.388311847299157,8.185513901063777e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.5548,0.4201,0.6477,0.6478,0.136,0.2568,0.1278,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5548,0.4201,0.6477,0.6478,0.136,0.2568,0.1278,
Gewalt,-11.388311847299157,8.185513901063777e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.388311847299157,8.185513901063777e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.5548,0.4201,0.6477,0.6478,0.136,0.2568,0.1278,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.5548,0.4201,0.6477,0.6478,0.136,0.2568,0.1278,
Gewinn,-7.456661430033361,5.489561276608893e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.456661430033361,5.489561276608893e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.3044,0.2915,0.4571,0.3963,0.4733,0.4353,0.5915,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3044,0.2915,0.4571,0.3963,0.4733,0.4353,0.5915,
Gewinn,-7.456661430033361,5.489561276608893e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.456661430033361,5.489561276608893e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.3044,0.2915,0.4571,0.3963,0.4733,0.4353,0.5915,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3044,0.2915,0.4571,0.3963,0.4733,0.4353,0.5915,
Giffey,-9.86407368517798,4.158766831282782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.86407368517798,4.158766831282782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.2197,0.3362,0.5293,0.5397,0.6437,0.6905,0.7721,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2197,0.3362,0.5293,0.5397,0.6437,0.6905,0.7721,
Giffey,-9.86407368517798,4.158766831282782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.86407368517798,4.158766831282782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.2197,0.3362,0.5293,0.5397,0.6437,0.6905,0.7721,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2197,0.3362,0.5293,0.5397,0.6437,0.6905,0.7721,
Gladbach,-2.5054585034700643,0.11415185464738536,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.5054585034700643,0.11415185464738536,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,True,True,0.1753,0.3125,0.1792,0.0511,0.0819,0.0861,0.1082,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1753,0.3125,0.1792,0.0511,0.0819,0.0861,0.1082,
Gladbach,-2.5054585034700643,0.11415185464738536,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.5054585034700643,0.11415185464738536,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,True,True,0.1753,0.3125,0.1792,0.0511,0.0819,0.0861,0.1082,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1753,0.3125,0.1792,0.0511,0.0819,0.0861,0.1082,
Glätte,-12.145550667069479,1.6138923492273223e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.145550667069479,1.6138923492273223e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,0.3483,0.1199,0.2405,0.006,0.0017,0.0037,0.0028,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3483,0.1199,0.2405,0.006,0.0017,0.0037,0.0028,5.0
Glätte,-12.145550667069479,1.6138923492273223e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.145550667069479,1.6138923492273223e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,0.3483,0.1199,0.2405,0.006,0.0017,0.0037,0.0028,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3483,0.1199,0.2405,0.006,0.0017,0.0037,0.0028,5.0
Glück,-3.0351560012818872,0.03173916595150581,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-3.0351560012818872,0.03173916595150581,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,True,0.3658,0.6211,0.8133,0.9329,0.978,0.8284,0.888,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3658,0.6211,0.8133,0.9329,0.978,0.8284,0.888,
Glück,-3.0351560012818872,0.03173916595150581,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-3.0351560012818872,0.03173916595150581,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,True,0.3658,0.6211,0.8133,0.9329,0.978,0.8284,0.888,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3658,0.6211,0.8133,0.9329,0.978,0.8284,0.888,
Gold,-2.5832321555481186,0.09651259804961276,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.5832321555481186,0.09651259804961276,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",False,False,True,False,0.8257,0.7332,0.5478,0.7116,0.9131,0.9334,0.8275,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8257,0.7332,0.5478,0.7116,0.9131,0.9334,0.8275,
Gold,-2.5832321555481186,0.09651259804961276,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-2.5832321555481186,0.09651259804961276,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",False,False,True,False,0.8257,0.7332,0.5478,0.7116,0.9131,0.9334,0.8275,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8257,0.7332,0.5478,0.7116,0.9131,0.9334,0.8275,
Grenze,-6.814050644808471,2.0808979820440934e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.814050644808471,2.0808979820440934e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.0391,0.168,0.4016,0.5595,0.6422,0.601,0.6663,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0391,0.168,0.4016,0.5595,0.6422,0.601,0.6663,1.0
Grenze,-6.814050644808471,2.0808979820440934e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.814050644808471,2.0808979820440934e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.0391,0.168,0.4016,0.5595,0.6422,0.601,0.6663,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0391,0.168,0.4016,0.5595,0.6422,0.601,0.6663,1.0
Grenzen,-6.8224788334931565,1.9857106543737162e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.8224788334931565,1.9857106543737162e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.0857,0.2537,0.4061,0.2335,0.3421,0.4146,0.5207,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0857,0.2537,0.4061,0.2335,0.3421,0.4146,0.5207,
Grenzen,-6.8224788334931565,1.9857106543737162e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.8224788334931565,1.9857106543737162e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.0857,0.2537,0.4061,0.2335,0.3421,0.4146,0.5207,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0857,0.2537,0.4061,0.2335,0.3421,0.4146,0.5207,
