keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ssr_ftest_pValue_lag1_before_diff,ssr_ftest_pValue_lag2_before_diff,ssr_ftest_pValue_lag3_before_diff,ssr_ftest_pValue_lag4_before_diff,ssr_ftest_pValue_lag5_before_diff,ssr_ftest_pValue_lag6_before_diff,ssr_ftest_pValue_lag7_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff,ssr_ftest_pValue_lag2_after_diff,ssr_ftest_pValue_lag3_after_diff,ssr_ftest_pValue_lag4_after_diff,ssr_ftest_pValue_lag5_after_diff,ssr_ftest_pValue_lag6_after_diff,ssr_ftest_pValue_lag7_after_diff,lowest_lag{diff_status}
Arzt,-2.691375107107529,0.07554268064390236,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.691375107107529,0.07554268064390236,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",False,False,False,False,0.0663,0.1397,0.281,0.4637,0.6471,0.5006,0.5973,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0663,0.1397,0.281,0.4637,0.6471,0.5006,0.5973,
Arzt,-2.691375107107529,0.07554268064390236,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.691375107107529,0.07554268064390236,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",False,False,False,False,0.0663,0.1397,0.281,0.4637,0.6471,0.5006,0.5973,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0663,0.1397,0.281,0.4637,0.6471,0.5006,0.5973,
Attacke,-6.467033982589624,1.3969623712487269e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.467033982589624,1.3969623712487269e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.1821,0.3328,0.4447,0.2491,0.2604,0.2153,0.1773,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1821,0.3328,0.4447,0.2491,0.2604,0.2153,0.1773,
Attacke,-6.467033982589624,1.3969623712487269e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.467033982589624,1.3969623712487269e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.1821,0.3328,0.4447,0.2491,0.2604,0.2153,0.1773,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.1821,0.3328,0.4447,0.2491,0.2604,0.2153,0.1773,
Auch,-3.5661695994301703,0.006441720649475672,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.5661695994301703,0.006441720649475672,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,True,0.4749,0.6389,0.8918,0.8161,0.8494,0.9368,0.9781,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4749,0.6389,0.8918,0.8161,0.8494,0.9368,0.9781,
Auch,-3.5661695994301703,0.006441720649475672,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.5661695994301703,0.006441720649475672,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,True,0.4749,0.6389,0.8918,0.8161,0.8494,0.9368,0.9781,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4749,0.6389,0.8918,0.8161,0.8494,0.9368,0.9781,
Aue,-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.7167,0.6219,0.8012,0.314,0.2693,0.2324,0.1595,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7167,0.6219,0.8012,0.314,0.2693,0.2324,0.1595,
Aue,-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.7167,0.6219,0.8012,0.314,0.2693,0.2324,0.1595,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7167,0.6219,0.8012,0.314,0.2693,0.2324,0.1595,
Auf,-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.3615,0.6468,0.8366,0.8986,0.9062,0.9436,0.9766,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3615,0.6468,0.8366,0.8986,0.9062,0.9436,0.9766,
Auf,-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.3615,0.6468,0.8366,0.8986,0.9062,0.9436,0.9766,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3615,0.6468,0.8366,0.8986,0.9062,0.9436,0.9766,
Auffahrunfall,-2.6500563648181417,0.08308652643856396,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.6500563648181417,0.08308652643856396,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,0.7634,0.8658,0.7983,0.9278,0.8082,0.791,0.7152,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7634,0.8658,0.7983,0.9278,0.8082,0.791,0.7152,
Auffahrunfall,-2.6500563648181417,0.08308652643856396,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.6500563648181417,0.08308652643856396,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,0.7634,0.8658,0.7983,0.9278,0.8082,0.791,0.7152,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7634,0.8658,0.7983,0.9278,0.8082,0.791,0.7152,
Aufnahme,-5.484319272515057,2.247709054712016e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-5.484319272515057,2.247709054712016e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,0.6833,0.3834,0.5482,0.6923,0.7428,0.7197,0.8128,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6833,0.3834,0.5482,0.6923,0.7428,0.7197,0.8128,
Aufnahme,-5.484319272515057,2.247709054712016e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-5.484319272515057,2.247709054712016e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,0.6833,0.3834,0.5482,0.6923,0.7428,0.7197,0.8128,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6833,0.3834,0.5482,0.6923,0.7428,0.7197,0.8128,
Augsburg,-7.8322699806590945,6.247190231574731e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.8322699806590945,6.247190231574731e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.3555,0.2858,0.4868,0.6724,0.8014,0.5375,0.6285,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.3555,0.2858,0.4868,0.6724,0.8014,0.5375,0.6285,
