keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ssr_ftest_pValue_lag1_before_diff,ssr_ftest_pValue_lag2_before_diff,ssr_ftest_pValue_lag3_before_diff,ssr_ftest_pValue_lag4_before_diff,ssr_ftest_pValue_lag5_before_diff,ssr_ftest_pValue_lag6_before_diff,ssr_ftest_pValue_lag7_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff,ssr_ftest_pValue_lag2_after_diff,ssr_ftest_pValue_lag3_after_diff,ssr_ftest_pValue_lag4_after_diff,ssr_ftest_pValue_lag5_after_diff,ssr_ftest_pValue_lag6_after_diff,ssr_ftest_pValue_lag7_after_diff,lowest_lag_before_diff,lowest_lag_after_diff
Aus,-9.737155065441417,8.688587445711186e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.737155065441417,8.688587445711186e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.705,0.8396,0.9402,0.9158,0.8391,0.6963,0.7697,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.705,0.8396,0.9402,0.9158,0.8391,0.6963,0.7697,,
Aus,-9.737155065441417,8.688587445711186e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.737155065441417,8.688587445711186e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.705,0.8396,0.9402,0.9158,0.8391,0.6963,0.7697,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.705,0.8396,0.9402,0.9158,0.8391,0.6963,0.7697,,
Ausbau,-3.158402377847928,0.02252234564159925,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-3.158402377847928,0.02252234564159925,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",True,True,False,False,0.2045,0.007,0.0314,0.0529,0.0469,0.0626,0.1887,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2045,0.007,0.0314,0.0529,0.0469,0.0626,0.1887,2.0,2.0
Ausbau,-3.158402377847928,0.02252234564159925,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-3.158402377847928,0.02252234564159925,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",True,True,False,False,0.2045,0.007,0.0314,0.0529,0.0469,0.0626,0.1887,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2045,0.007,0.0314,0.0529,0.0469,0.0626,0.1887,2.0,2.0
Ausstellung,-2.6561179621576114,0.08194441776377687,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.6561179621576114,0.08194441776377687,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,0.0648,0.039,0.0075,0.0134,0.0178,0.0201,0.0449,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0648,0.039,0.0075,0.0134,0.0178,0.0201,0.0449,3.0,3.0
Ausstellung,-2.6561179621576114,0.08194441776377687,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.6561179621576114,0.08194441776377687,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,0.0648,0.039,0.0075,0.0134,0.0178,0.0201,0.0449,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0648,0.039,0.0075,0.0134,0.0178,0.0201,0.0449,3.0,3.0
Australian,-7.008033178677549,7.038785668815599e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-7.008033178677549,7.038785668815599e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.129,0.2545,0.1955,0.312,0.451,0.264,0.2174,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.129,0.2545,0.1955,0.312,0.451,0.264,0.2174,,
Australian,-7.008033178677549,7.038785668815599e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-7.008033178677549,7.038785668815599e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.129,0.2545,0.1955,0.312,0.451,0.264,0.2174,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.129,0.2545,0.1955,0.312,0.451,0.264,0.2174,,
Australien,-2.7835236931981697,0.06066610670562459,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.7835236931981697,0.06066610670562459,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",False,False,False,False,0.0005,0.0083,0.0394,0.0119,0.022,0.0138,0.029,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0005,0.0083,0.0394,0.0119,0.022,0.0138,0.029,1.0,1.0
Australien,-2.7835236931981697,0.06066610670562459,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.7835236931981697,0.06066610670562459,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",False,False,False,False,0.0005,0.0083,0.0394,0.0119,0.022,0.0138,0.029,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0005,0.0083,0.0394,0.0119,0.022,0.0138,0.029,1.0,1.0
Auto,-11.678302384695007,1.7662273536852857e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.678302384695007,1.7662273536852857e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.4896,0.8004,0.9367,0.9148,0.6566,0.7678,0.8206,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4896,0.8004,0.9367,0.9148,0.6566,0.7678,0.8206,,
Auto,-11.678302384695007,1.7662273536852857e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.678302384695007,1.7662273536852857e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.4896,0.8004,0.9367,0.9148,0.6566,0.7678,0.8206,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4896,0.8004,0.9367,0.9148,0.6566,0.7678,0.8206,,
Autobahn,-11.066859117111822,4.6581610887526414e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.066859117111822,4.6581610887526414e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.8971,0.9943,0.9569,0.9004,0.8722,0.8219,0.8326,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8971,0.9943,0.9569,0.9004,0.8722,0.8219,0.8326,,
Autobahn,-11.066859117111822,4.6581610887526414e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.066859117111822,4.6581610887526414e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.8971,0.9943,0.9569,0.9004,0.8722,0.8219,0.8326,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8971,0.9943,0.9569,0.9004,0.8722,0.8219,0.8326,,
Autofahrer,-10.508892487277869,1.036849436220321e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.508892487277869,1.036849436220321e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.8862,0.9381,0.7974,0.775,0.7239,0.2741,0.3643,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8862,0.9381,0.7974,0.775,0.7239,0.2741,0.3643,,
Autofahrer,-10.508892487277869,1.036849436220321e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.508892487277869,1.036849436220321e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.8862,0.9381,0.7974,0.775,0.7239,0.2741,0.3643,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8862,0.9381,0.7974,0.775,0.7239,0.2741,0.3643,,
Autounfall,-4.585073891612963,0.00013760424209326527,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.585073891612963,0.00013760424209326527,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,True,0.178,0.2413,0.2925,0.0147,0.0263,0.0183,0.0017,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.178,0.2413,0.2925,0.0147,0.0263,0.0183,0.0017,7.0,7.0
Autounfall,-4.585073891612963,0.00013760424209326527,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.585073891612963,0.00013760424209326527,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,True,0.178,0.2413,0.2925,0.0147,0.0263,0.0183,0.0017,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.178,0.2413,0.2925,0.0147,0.0263,0.0183,0.0017,7.0,7.0
Baby,-10.361019362867262,2.3964378442544016e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.361019362867262,2.3964378442544016e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.6124,0.6279,0.3844,0.2637,0.4071,0.4848,0.5894,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6124,0.6279,0.3844,0.2637,0.4071,0.4848,0.5894,,
Baby,-10.361019362867262,2.3964378442544016e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.361019362867262,2.3964378442544016e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.6124,0.6279,0.3844,0.2637,0.4071,0.4848,0.5894,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6124,0.6279,0.3844,0.2637,0.4071,0.4848,0.5894,,
Bach,-8.434081733580145,1.836683268358613e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.434081733580145,1.836683268358613e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9882,0.9024,0.8992,0.9059,0.9369,0.9236,0.7521,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9882,0.9024,0.8992,0.9059,0.9369,0.9236,0.7521,,
Bach,-8.434081733580145,1.836683268358613e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.434081733580145,1.836683268358613e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9882,0.9024,0.8992,0.9059,0.9369,0.9236,0.7521,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9882,0.9024,0.8992,0.9059,0.9369,0.9236,0.7521,,
Bad,-20.730300018199443,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-20.730300018199443,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,0.6145,0.7197,0.6709,0.6628,0.7746,0.5422,0.5171,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6145,0.7197,0.6709,0.6628,0.7746,0.5422,0.5171,,
Bad,-20.730300018199443,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-20.730300018199443,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,0.6145,0.7197,0.6709,0.6628,0.7746,0.5422,0.5171,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6145,0.7197,0.6709,0.6628,0.7746,0.5422,0.5171,,
Baden-Württemberg,-9.116711920405326,3.2874398062228563e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.116711920405326,3.2874398062228563e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4196,0.3443,0.5126,0.4214,0.4296,0.4612,0.5927,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4196,0.3443,0.5126,0.4214,0.4296,0.4612,0.5927,,
Baden-Württemberg,-9.116711920405326,3.2874398062228563e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.116711920405326,3.2874398062228563e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4196,0.3443,0.5126,0.4214,0.4296,0.4612,0.5927,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.4196,0.3443,0.5126,0.4214,0.4296,0.4612,0.5927,,
Baerbock,-3.844274691391471,0.0024854595855943514,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.844274691391471,0.0024854595855943514,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.7747,0.5969,0.7783,0.5593,0.6618,0.705,0.79,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7747,0.5969,0.7783,0.5593,0.6618,0.705,0.79,,
Baerbock,-3.844274691391471,0.0024854595855943514,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.844274691391471,0.0024854595855943514,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,False,0.7747,0.5969,0.7783,0.5593,0.6618,0.705,0.79,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.7747,0.5969,0.7783,0.5593,0.6618,0.705,0.79,,
Bahn,-11.587411940112565,2.8453995844896546e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.587411940112565,2.8453995844896546e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.6446,0.7022,0.8669,0.9461,0.9898,0.9804,0.963,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6446,0.7022,0.8669,0.9461,0.9898,0.9804,0.963,,
Bahn,-11.587411940112565,2.8453995844896546e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.587411940112565,2.8453995844896546e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.6446,0.7022,0.8669,0.9461,0.9898,0.9804,0.963,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.6446,0.7022,0.8669,0.9461,0.9898,0.9804,0.963,,
Bank,-11.902017540233572,5.54660543794434e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.902017540233572,5.54660543794434e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.0001,0.0,0.0001,0.0004,0.0008,0.0024,0.0036,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0001,0.0,0.0001,0.0004,0.0008,0.0024,0.0036,2.0,2.0
Bank,-11.902017540233572,5.54660543794434e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.902017540233572,5.54660543794434e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,0.0001,0.0,0.0001,0.0004,0.0008,0.0024,0.0036,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0001,0.0,0.0001,0.0004,0.0008,0.0024,0.0036,2.0,2.0
Banken,-12.699507566071153,1.0876266553575708e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.699507566071153,1.0876266553575708e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8367,0.1859,0.2635,0.3483,0.5153,0.6223,0.624,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8367,0.1859,0.2635,0.3483,0.5153,0.6223,0.624,,
Banken,-12.699507566071153,1.0876266553575708e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.699507566071153,1.0876266553575708e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8367,0.1859,0.2635,0.3483,0.5153,0.6223,0.624,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.8367,0.1859,0.2635,0.3483,0.5153,0.6223,0.624,,
Barcelona,0.14804718155583899,0.9691924774415139,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.14804718155583899,0.9691924774415139,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,True,True,0.0001,0.0011,0.003,0.0071,0.0025,0.002,0.0065,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0001,0.0011,0.003,0.0071,0.0025,0.002,0.0065,1.0,1.0
Barcelona,0.14804718155583899,0.9691924774415139,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.14804718155583899,0.9691924774415139,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,True,True,0.0001,0.0011,0.003,0.0071,0.0025,0.002,0.0065,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.0001,0.0011,0.003,0.0071,0.0025,0.002,0.0065,1.0,1.0
Basketballer,-12.661348609312094,1.3028745490591294e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.661348609312094,1.3028745490591294e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2421,0.123,0.0971,0.1535,0.2257,0.3267,0.3996,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2421,0.123,0.0971,0.1535,0.2257,0.3267,0.3996,,
Basketballer,-12.661348609312094,1.3028745490591294e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.661348609312094,1.3028745490591294e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2421,0.123,0.0971,0.1535,0.2257,0.3267,0.3996,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.2421,0.123,0.0971,0.1535,0.2257,0.3267,0.3996,,
Baum,-2.214130548086811,0.20115691442930567,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.214130548086811,0.20115691442930567,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,False,True,0.9703,0.6588,0.7711,0.5665,0.11,0.1459,0.0642,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9703,0.6588,0.7711,0.5665,0.11,0.1459,0.0642,,
Baum,-2.214130548086811,0.20115691442930567,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.214130548086811,0.20115691442930567,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,False,True,0.9703,0.6588,0.7711,0.5665,0.11,0.1459,0.0642,-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2879329021371260.0,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,0.9703,0.6588,0.7711,0.5665,0.11,0.1459,0.0642,,
