KeyWord,date,Occurence_in_News,normalized_Occurence_in_News,Occurence_in_Google,normalized_Occurence_in_Google,Occurence_in_Wikipedia,normalized_Occurence_in_Wikipedia,smoothened_normalized_Occurence_in_News,smoothened_normalized_Occurence_in_Google,smoothened_normalized_Occurence_in_Wikipedia,smoothened_Occurence_in_News,smoothened_Occurence_in_Google,smoothened_Occurence_in_Wikipedia
Neuer,2022-06-21,4,0.3333333333333333,53,0.53,7,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0
Neuer,2022-06-22,5,0.4166666666666667,61,0.61,8,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0
Neuer,2022-06-23,12,1.0,61,0.61,2,0.0377358490566037,0.5833333333333334,0.5833333333333334,0.10691823899371067,7.0,58.333333333333336,5.666666666666667
Neuer,2022-06-24,9,0.75,56,0.56,5,0.0943396226415094,0.7222222222222223,0.5933333333333334,0.0943396226415094,8.666666666666666,59.333333333333336,5.0
Neuer,2022-06-25,7,0.5833333333333334,55,0.55,10,0.1886792452830188,0.7777777777777778,0.5733333333333334,0.10691823899371063,9.333333333333334,57.333333333333336,5.666666666666667
Neuer,2022-06-26,10,0.8333333333333334,56,0.56,3,0.0566037735849056,0.7222222222222223,0.5566666666666668,0.11320754716981125,8.666666666666666,55.666666666666664,6.0
Neuer,2022-06-27,6,0.5,60,0.6,11,0.2075471698113207,0.638888888888889,0.57,0.15094339622641503,7.666666666666667,57.0,8.0
Neuer,2022-06-28,8,0.6666666666666666,55,0.55,7,0.1320754716981132,0.6666666666666666,0.57,0.13207547169811315,8.0,57.0,7.0
Neuer,2022-06-29,11,0.9166666666666666,55,0.55,12,0.2264150943396226,0.6944444444444443,0.5666666666666668,0.18867924528301883,8.333333333333334,56.666666666666664,10.0
Neuer,2022-06-30,8,0.6666666666666666,59,0.59,6,0.1132075471698113,0.75,0.5633333333333334,0.1572327044025157,9.0,56.333333333333336,8.333333333333334
Neuer,2022-07-01,12,1.0,55,0.55,2,0.0377358490566037,0.8611111111111112,0.5633333333333334,0.12578616352201252,10.333333333333334,56.333333333333336,6.666666666666667
Neuer,2022-07-02,3,0.25,49,0.49,3,0.0566037735849056,0.6388888888888888,0.5433333333333333,0.06918238993710686,7.666666666666667,54.333333333333336,3.6666666666666665
Neuer,2022-07-03,7,0.5833333333333334,55,0.55,2,0.0377358490566037,0.6111111111111112,0.53,0.04402515723270434,7.333333333333333,53.0,2.3333333333333335
Neuer,2022-07-04,11,0.9166666666666666,60,0.6,5,0.0943396226415094,0.5833333333333334,0.5466666666666667,0.06289308176100623,7.0,54.666666666666664,3.3333333333333335
Neuer,2022-07-05,8,0.6666666666666666,55,0.55,5,0.0943396226415094,0.7222222222222223,0.5666666666666668,0.07547169811320749,8.666666666666666,56.666666666666664,4.0
Neuer,2022-07-06,3,0.25,60,0.6,7,0.1320754716981132,0.611111111111111,0.5833333333333334,0.10691823899371067,7.333333333333333,58.333333333333336,5.666666666666667
Vertrag,2022-06-21,3,0.3333333333333333,81,0.81,126,0.3579545454545454,0.0,0.0,0.0,0.0,0.0,0.0
Vertrag,2022-06-22,5,0.5555555555555556,81,0.81,91,0.2585227272727273,0.0,0.0,0.0,0.0,0.0,0.0
Vertrag,2022-06-23,3,0.3333333333333333,75,0.75,103,0.2926136363636363,0.4074074074074074,0.79,0.303030303030303,3.6666666666666665,79.0,106.66666666666667
Vertrag,2022-06-24,4,0.4444444444444444,75,0.75,96,0.2727272727272727,0.4444444444444444,0.77,0.2746212121212121,4.0,77.0,96.66666666666667
Vertrag,2022-06-25,0,0.0,60,0.6,69,0.1960227272727272,0.25925925925925924,0.7000000000000001,0.25378787878787873,2.3333333333333335,70.0,89.33333333333333
Vertrag,2022-06-26,3,0.3333333333333333,62,0.62,68,0.1931818181818181,0.25925925925925924,0.6566666666666666,0.22064393939393934,2.3333333333333335,65.66666666666667,77.66666666666667
Vertrag,2022-06-27,5,0.5555555555555556,85,0.85,123,0.3494318181818182,0.2962962962962963,0.69,0.2462121212121212,2.6666666666666665,69.0,86.66666666666667
Vertrag,2022-06-28,2,0.2222222222222222,82,0.82,156,0.4431818181818182,0.3703703703703704,0.7633333333333333,0.3285984848484848,3.3333333333333335,76.33333333333333,115.66666666666667
Vertrag,2022-06-29,8,0.8888888888888888,78,0.78,129,0.3664772727272727,0.5555555555555555,0.8166666666666668,0.3863636363636364,5.0,81.66666666666667,136.0
Vertrag,2022-06-30,1,0.1111111111111111,79,0.79,135,0.3835227272727273,0.4074074074074074,0.7966666666666665,0.39772727272727276,3.6666666666666665,79.66666666666667,140.0
Vertrag,2022-07-01,4,0.4444444444444444,72,0.72,117,0.3323863636363636,0.48148148148148145,0.7633333333333333,0.36079545454545453,4.333333333333333,76.33333333333333,127.0
Vertrag,2022-07-02,0,0.0,59,0.59,55,0.15625,0.1851851851851852,0.7000000000000001,0.29071969696969696,1.6666666666666667,70.0,102.33333333333333
Vertrag,2022-07-03,1,0.1111111111111111,68,0.68,84,0.2386363636363636,0.1851851851851852,0.6633333333333333,0.2424242424242424,1.6666666666666667,66.33333333333333,85.33333333333333
Vertrag,2022-07-04,5,0.5555555555555556,82,0.82,113,0.3210227272727273,0.22222222222222224,0.6966666666666667,0.23863636363636362,2.0,69.66666666666667,84.0
Vertrag,2022-07-05,9,1.0,76,0.76,164,0.4659090909090909,0.5555555555555556,0.7533333333333334,0.34185606060606055,5.0,75.33333333333333,120.33333333333333
