keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News
Kopf,-11.733438593741662,1.3248721846603073e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.733438593741662,1.3248721846603073e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-7.2522681865717,1.7674223467571326e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-7.2522681865717,1.7674223467571326e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.3795,0.6064,0.7783,0.0929,0.1336,0.2051,0.2846,0.9341,0.9224,0.8802,0.9638,0.7511,0.7014,0.7792,,
Kosten,-2.0955523863982424,0.24630676617571606,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.0955523863982424,0.24630676617571606,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,False,False,-5.964037956184241,2.0074199062961749e-07,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-5.964037956184241,2.0074199062961749e-07,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,False,0.6444,0.2697,0.318,0.0177,0.118,0.3201,0.3603,0.211,0.2623,0.1567,0.0319,0.1586,0.4163,0.0923,4.0,4.0
Kraft,-3.1994256729671515,0.020017947600452793,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-3.1994256729671515,0.020017947600452793,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",True,True,True,False,-3.1337101461117975,0.02415699802214254,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-3.1337101461117975,0.02415699802214254,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",True,True,True,True,0.9759,0.7272,0.4722,0.2863,0.7088,0.9108,0.5216,0.6176,0.098,0.2116,0.1196,0.1092,0.2433,0.1732,,
Krankenhaus,-0.8885143144247671,0.7917312831783976,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-0.8885143144247671,0.7917312831783976,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,False,-10.600660734948152,6.18341210469203e-19,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.600660734948152,6.18341210469203e-19,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.5668,0.6999,0.1129,0.0496,0.0307,0.1513,0.167,0.1473,0.1736,0.3425,0.4497,0.5112,0.739,0.8819,5.0,
Kreis,-2.158580310371222,0.2216202210003722,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-2.158580310371222,0.2216202210003722,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",False,False,True,False,-3.010758517327307,0.03390183208161936,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-3.010758517327307,0.03390183208161936,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,True,True,0.2828,0.2822,0.0715,0.0748,0.327,0.639,0.8408,0.8827,0.2283,0.3637,0.4646,0.7881,0.1352,0.0691,,
Kreml,-2.6920985171087435,0.07541557945494723,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.6920985171087435,0.07541557945494723,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",False,False,False,False,-6.1872131968240165,6.247142163345712e-08,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-6.1872131968240165,6.247142163345712e-08,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,True,0.6832,0.3648,0.0205,0.019,0.0201,0.0187,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
Kretschmann,-4.762170452679032,6.421095787187234e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.762170452679032,6.421095787187234e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,True,-8.742660070474054,2.979834459225732e-14,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-8.742660070474054,2.979834459225732e-14,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.9363,0.7928,0.4602,0.1724,0.1486,0.2189,0.276,0.931,0.6357,0.9821,0.9607,0.9813,0.9677,0.7797,,
Kretschmer,-2.2800559921707304,0.17848100748146456,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-2.2800559921707304,0.17848100748146456,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",False,False,False,True,-6.62244871739282,5.989802922447219e-09,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-6.62244871739282,5.989802922447219e-09,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",True,True,True,True,0.1828,0.4554,0.1899,0.254,0.2606,0.1661,0.2107,0.4775,0.8817,0.9801,0.9893,0.9465,0.9877,0.8139,,
Krieg,-2.693010959355045,0.07525550642950997,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.693010959355045,0.07525550642950997,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",False,False,False,False,-11.392184465028,8.01776444944641e-21,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.392184465028,8.01776444944641e-21,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.7214,0.3755,0.5467,0.4924,0.3256,0.5142,0.5218,0.4476,0.4437,0.4929,0.0374,0.0053,0.0046,0.0198,,6.0
Krise,-11.10492459705002,3.783727118391731e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.10492459705002,3.783727118391731e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-9.085511496001812,3.950215410130161e-15,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.085511496001812,3.950215410130161e-15,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.3697,0.1306,0.0791,0.1244,0.2505,0.2076,0.339,0.28,0.302,0.1426,0.0552,0.0417,0.0442,0.0117,,7.0
