keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News
2G,-6.152354929671535,7.509109546750554e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-6.152354929671535,7.509109546750554e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,False,False,-2.7975101982214072,0.05863029961705437,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-2.7975101982214072,0.05863029961705437,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",False,False,True,True,0.7102,0.0,0.0,0.0,0.0001,0.0003,0.0006,0.8977,0.0015,0.0003,0.0015,0.0668,0.0214,0.0024,2.0,3.0
2G-Regel,-1.7815059300809721,0.38968136780019036,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-1.7815059300809721,0.38968136780019036,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",False,False,True,True,-9.800312504303168,6.019601712792695e-17,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-9.800312504303168,6.019601712792695e-17,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,True,0.2514,0.4399,0.4738,0.65,0.7239,0.3874,0.1816,0.1953,0.5082,0.8119,0.8901,0.9862,0.994,0.9898,,
3G,-5.992841617430681,1.7291792652568086e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-5.992841617430681,1.7291792652568086e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",True,True,False,True,-8.880610502710535,1.3210947830035882e-14,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-8.880610502710535,1.3210947830035882e-14,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,True,True,0.8338,0.9082,0.053,0.0636,0.0462,0.0593,0.1076,0.4621,0.185,0.3174,0.1374,0.3865,0.3015,0.3766,5.0,
A,-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.459072286444917,1.585345536848769e-13,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.459072286444917,1.585345536848769e-13,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.011,0.1248,0.0798,0.1774,0.1491,0.2239,0.3045,0.0153,0.0466,0.1629,0.2377,0.4086,0.2663,0.436,1.0,1.0
Ab,-12.506756877668826,2.7298107296209405e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.506756877668826,2.7298107296209405e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.062110289724929,1.6324895343674401e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.062110289724929,1.6324895343674401e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,False,True,0.3886,0.3131,0.5028,0.227,0.3611,0.4573,0.6517,0.8693,0.6913,0.6651,0.3547,0.4948,0.5164,0.6626,,
Abend,-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,-6.692677481619144,4.072148767759045e-09,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-6.692677481619144,4.072148767759045e-09,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",True,True,True,True,0.9287,0.9598,0.8653,0.309,0.55,0.5418,0.6323,0.3191,0.1184,0.0663,0.0667,0.1913,0.37,0.4669,,
Abschied,-2.3652777130456104,0.15177723599993237,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.3652777130456104,0.15177723599993237,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,-8.5918883985287,7.24865198140098e-14,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.5918883985287,7.24865198140098e-14,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.0241,0.0669,0.09,0.1679,0.0409,0.0682,0.0888,0.9757,0.5149,0.6584,0.6138,0.3356,0.4438,0.4646,1.0,
Acht,-6.551147052626055,8.844689247296752e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.551147052626055,8.844689247296752e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-7.992300220543911,2.455948660918468e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-7.992300220543911,2.455948660918468e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.9015,0.9073,0.9734,0.9212,0.9662,0.9841,0.9822,0.0812,0.0897,0.1429,0.2166,0.1919,0.2787,0.2833,,
Afghanistan,-5.3048324234050135,5.350847606097313e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.3048324234050135,5.350847606097313e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-11.354239162149296,9.82376325419999e-21,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.354239162149296,9.82376325419999e-21,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.6478,0.7994,0.8066,0.7044,0.823,0.9156,0.7661,0.805,0.4237,0.4272,0.5388,0.6493,0.739,0.8234,,
Alba,-4.7426448445263905,6.992670422145912e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.7426448445263905,6.992670422145912e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-12.3099112421413,7.130502675594292e-23,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-12.3099112421413,7.130502675594292e-23,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.3799,0.5484,0.7619,0.7934,0.6228,0.311,0.4104,0.9445,0.7207,0.2371,0.0317,0.0457,0.0462,0.0515,,4.0
Alle,-11.200659802508968,2.248212321298737e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.200659802508968,2.248212321298737e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.139462283743693,1.0375681915747672e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.139462283743693,1.0375681915747672e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.5587,0.7313,0.5311,0.0374,0.1047,0.4232,0.3789,0.065,0.0006,0.0012,0.0011,0.003,0.0008,0.0002,4.0,7.0
Alles,-10.729191788203744,3.01029650446649e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.729191788203744,3.01029650446649e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-10.033739647348964,1.560322614589819e-17,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.033739647348964,1.560322614589819e-17,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,False,0.2207,0.4247,0.6147,0.6906,0.7968,0.7835,0.8769,0.7131,0.9693,0.9152,0.8157,0.9459,0.1571,0.0902,,
Als,-10.038902644924926,1.5145991875964482e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.038902644924926,1.5145991875964482e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-6.51493078941359,1.0772352190867892e-08,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-6.51493078941359,1.0772352190867892e-08,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,False,True,0.8376,0.4405,0.4896,0.6387,0.7695,0.8824,0.9171,0.6268,0.5658,0.6309,0.7389,0.827,0.8548,0.9027,,
Am,-10.56116412892838,7.721806118309477e-19,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-10.56116412892838,7.721806118309477e-19,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-6.062934348991725,1.2004977266848294e-07,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-6.062934348991725,1.2004977266848294e-07,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,True,True,0.2719,0.4801,0.5896,0.7003,0.6344,0.6506,0.6902,0.8383,0.9036,0.8515,0.774,0.9202,0.863,0.8574,,
Ampel,-1.715533553171457,0.42312741649266594,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-1.715533553171457,0.42312741649266594,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,False,False,-3.995531525551724,0.0014340910873942275,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-3.995531525551724,0.0014340910873942275,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,True,0.6314,0.6242,0.8548,0.5593,0.7784,0.6589,0.7675,0.0651,0.0005,0.0003,0.0,0.0006,0.0042,0.0074,,4.0
Amt,-11.501968286967196,4.46903886536133e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.501968286967196,4.46903886536133e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-9.741375013241187,8.477952215753156e-17,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.741375013241187,8.477952215753156e-17,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.0308,0.059,0.1041,0.0967,0.2056,0.3278,0.4498,0.9262,0.7466,0.6687,0.7161,0.8682,0.9603,0.9813,1.0,
An,-12.34949775513799,5.868966297935378e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.34949775513799,5.868966297935378e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-7.8049154343679765,7.325164840829652e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-7.8049154343679765,7.325164840829652e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.7699,0.3175,0.3742,0.4418,0.8634,0.7394,0.8548,0.2151,0.0205,0.0014,0.0035,0.0109,0.0051,0.0016,,3.0
Andrew,-6.9828773713513135,8.106949497849577e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.9828773713513135,8.106949497849577e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-6.960635677274309,9.18404233235187e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-6.960635677274309,9.18404233235187e-10,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0006,0.0002,0.0006,0.0051,0.0108,0.0075,1.0,1.0
Anfang,-4.838955896338083,4.578343999727295e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-4.838955896338083,4.578343999727295e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,True,-9.298798732682425,1.1270619516767409e-15,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-9.298798732682425,1.1270619516767409e-15,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,True,True,0.5994,0.304,0.1686,0.0973,0.1882,0.2649,0.3178,0.9405,0.9756,0.9622,0.9739,0.9939,0.9792,0.8768,,
Angeklagter,-9.631952039275017,1.6034267409281912e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.631952039275017,1.6034267409281912e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.659721480028463,4.8594045065311386e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.659721480028463,4.8594045065311386e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.0284,0.0363,0.1368,0.1793,0.2827,0.136,0.0611,0.6466,0.1859,0.1752,0.1854,0.1687,0.3453,0.5222,1.0,
Angriff,-6.16255666493643,7.115895833280109e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.16255666493643,7.115895833280109e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-7.906989036016563,4.0418428235953606e-12,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-7.906989036016563,4.0418428235953606e-12,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.0002,0.0003,0.0006,0.0008,0.0051,0.0015,0.0071,0.7218,0.0265,0.1989,0.0452,0.2184,0.141,0.1163,1.0,2.0
Angst,-10.879298406768223,1.3071615111470275e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.879298406768223,1.3071615111470275e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.468197350731042,1.502395020434601e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.468197350731042,1.502395020434601e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.0406,0.0504,0.1834,0.2325,0.3453,0.3029,0.4388,0.7964,0.3911,0.8595,0.8441,0.5373,0.1418,0.1597,1.0,
Anklage,-1.9731256242054578,0.2984794416860391,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.9731256242054578,0.2984794416860391,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,False,-10.531488987285762,9.127314304650272e-19,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.531488987285762,9.127314304650272e-19,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.5631,0.1493,0.4335,0.4359,0.3166,0.5344,0.2265,0.0274,0.102,0.1891,0.1636,0.3199,0.641,0.7205,,1.0
Anschlag,-12.17908800685175,1.3646249276459756e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.17908800685175,1.3646249276459756e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.392188728687756,2.350368541779704e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.392188728687756,2.350368541779704e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.8481,0.8682,0.9334,0.9773,0.9979,0.9993,0.9773,0.6001,0.5629,0.427,0.5643,0.7646,0.7286,0.7034,,
Anstieg,-4.315989903305068,0.00041672729779162234,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-4.315989903305068,0.00041672729779162234,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,False,-6.662217750040072,4.815197672369874e-09,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-6.662217750040072,4.815197672369874e-09,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,False,0.3467,0.2666,0.6323,0.7373,0.8262,0.7377,0.5837,0.1657,0.2473,0.5844,0.5588,0.7697,0.8151,0.7914,,
Antrag,-4.371036092707853,0.00033389676184088137,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-4.371036092707853,0.00033389676184088137,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,False,False,-7.674126312974278,1.5651770041347207e-11,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-7.674126312974278,1.5651770041347207e-11,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.8916,0.2953,0.4677,0.704,0.8157,0.7919,0.8844,0.3048,0.5732,0.3515,0.5057,0.6221,0.5575,0.5499,,
Apple,-2.0565366500385625,0.2623465332794099,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-2.0565366500385625,0.2623465332794099,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",False,False,True,False,-6.1353529549214,8.212355841017487e-08,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-6.1353529549214,8.212355841017487e-08,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",True,True,True,True,0.6116,0.5484,0.7533,0.9088,0.9814,0.9897,0.9825,0.9404,0.9477,0.9147,0.7679,0.9177,0.9693,0.9033,,
April,-3.059492027605231,0.029699850723383152,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.059492027605231,0.029699850723383152,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,-12.199257878095201,1.233984176520094e-22,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-12.199257878095201,1.233984176520094e-22,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.0723,0.2534,0.0498,0.0817,0.0926,0.0001,0.0,0.3746,0.502,0.1594,0.0311,0.0211,0.0,0.0,7.0,6.0
Arbeit,-2.40633502710721,0.1399563716419236,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-2.40633502710721,0.1399563716419236,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",False,False,True,False,-11.367921009705636,9.129320224346901e-21,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-11.367921009705636,9.129320224346901e-21,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,False,0.6758,0.3588,0.6573,0.7608,0.8964,0.8616,0.8101,0.0206,0.0616,0.2382,0.2275,0.265,0.3866,0.3834,,1.0
Arzt,-2.691375107107528,0.07554268064390239,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.691375107107528,0.07554268064390239,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",False,False,True,True,-3.807829324415818,0.0028282189056692297,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-3.807829324415818,0.0028282189056692297,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,True,False,0.5923,0.4101,0.6088,0.6138,0.3853,0.4876,0.631,0.9062,0.0572,0.1354,0.2471,0.3901,0.55,0.7232,,
Attacke,-6.467033982589618,1.396962371248752e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.467033982589618,1.396962371248752e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,True,-7.876915798807328,4.816564623387217e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-7.876915798807328,4.816564623387217e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,False,True,0.1439,0.2477,0.2467,0.1967,0.1512,0.138,0.1492,0.7684,0.5888,0.7947,0.3624,0.5768,0.6087,0.6098,,
Auch,-3.5661695994301725,0.00644172064947562,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.5661695994301725,0.00644172064947562,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,False,-17.57436462568304,4.036608056957683e-30,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-17.57436462568304,4.036608056957683e-30,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.3558,0.7484,0.6569,0.7275,0.8572,0.9517,0.9453,0.6327,0.3687,0.3663,0.2502,0.1227,0.1855,0.3057,,
Aue,-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-6.0561795904089735,1.2436042380005415e-07,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-6.0561795904089735,1.2436042380005415e-07,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,True,0.2422,0.6447,0.1869,0.1864,0.214,0.0782,0.077,0.0873,0.2641,0.3587,0.5116,0.6332,0.2709,0.1947,,
Auf,-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,False,-10.05458303309913,1.3838329457983034e-17,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-10.05458303309913,1.3838329457983034e-17,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.5054,0.6206,0.9116,0.9868,0.9751,0.9913,0.979,0.469,0.2951,0.5329,0.7076,0.229,0.2999,0.3428,,
Auffahrunfall,-2.6500563648181403,0.08308652643856418,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.6500563648181403,0.08308652643856418,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,True,False,-9.030233667034485,5.470084435209326e-15,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.030233667034485,5.470084435209326e-15,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.8037,0.5273,0.8279,0.6629,0.7051,0.5497,0.6732,0.3875,0.5064,0.7726,0.7225,0.6274,0.5805,0.5013,,
Aufnahme,-5.484319272515056,2.2477090547120317e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-5.484319272515056,2.2477090547120317e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,-8.563985942221993,8.544397226293615e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.563985942221993,8.544397226293615e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.1259,0.4188,0.5696,0.5006,0.5191,0.7123,0.4872,0.1264,0.0937,0.1231,0.1718,0.3176,0.4042,0.1355,,
Augsburg,-7.832269980659096,6.2471902315746176e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.832269980659096,6.2471902315746176e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.438791777035338,1.7864465346366353e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.438791777035338,1.7864465346366353e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.2377,0.3521,0.4091,0.6334,0.3787,0.5536,0.4908,0.6108,0.1976,0.306,0.4097,0.4785,0.5827,0.6584,,
