keyword_name,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
Inside,7.0
Instagram,3.0
Internet,5.0
Invasion,2.0
Investor,3.0
Island,3.0
Israel,3.0
Ist,4.0
Italien,1.0
Jahr,5.0
Jan,5.0
Jena,3.0
Job,3.0
Joe,5.0
Johnson,3.0
Jugend,3.0
Jugendlicher,7.0
Julia,3.0
Julian,2.0
Junge,7.0
Jäger,3.0
Kaiserslautern,4.0
Kanada,2.0
Kandidaten,4.0
Kapitän,5.0
Karl,3.0
Karlsruhe,3.0
Karneval,7.0
Karriere,3.0
Kassel,3.0
Katar,6.0
Katze,3.0
Katzen,3.0
Kaum,7.0
Keller,3.0
Kerber,2.0
Kiel,3.0
Kiew,5.0
Kilogramm,7.0
Kim,7.0
Kind,3.0
Kinder,3.0
Kino,3.0
Kirche,3.0
Klimawandel,5.0
Klitschko,1.0
Klopp,2.0
Koch,5.0
Kolumne,3.0
Konsequenzen,4.0
Konzept,5.0
Kosten,3.0
Kovac,4.0
Kraft,5.0
Krankheit,3.0
Krefeld,4.0
Kreml,2.0
Kriegsverbrechen,3.0
Kripo,7.0
Krise,7.0
Kritik,3.0
Kroos,1.0
Kruse,1.0
Kultur,6.0
Kunden,6.0
Kunst,6.0
Kusel,2.0
Kutschaty,5.0
Köln,5.0
König,4.0
Körper,7.0
Künstler,3.0
Küste,5.0
Lagerhalle,6.0
Lambrecht,4.0
Landrat,5.0
Landratsamt,5.0
Landtag,3.0
Landtagswahl,2.0
Lauterbach,7.0
Lautern,5.0
League,2.0
Leben,5.0
Lebensgefahr,1.0
Lebensmittel,3.0
Leclerc,2.0
Leiche,6.0
Leyen,6.0
Licht,5.0
Liebe,3.0
Litauen,3.0
Liter,4.0
Live,3.0
Lkw-Fahrer,7.0
Lob,3.0
Loch,3.0
Lockdown,5.0
London,3.0
Los,3.0
Love,3.0
Luca-App,4.0
Ludwigsburg,3.0
Luft,3.0
Lufthansa,3.0
Lust,3.0
Lösung,6.0
Löwen,5.0
Lübeck,3.0
Macht,3.0
Macron,7.0
Magath,2.0
Maier,3.0
Mama,3.0
Man,3.0
Manchester,6.0
Mann,3.0
Mannheim,3.0
Mané,1.0
Marihuana,3.0
Mariupol,7.0
Markt,3.0
Markus,3.0
Martin,7.0
Maske,4.0
Maskenpflicht,4.0
Massaker,1.0
Max,5.0
Mbappé,4.0
Mecklenburg-Vorpommern,4.0
Medaille,7.0
Medien,5.0
Medwedew,4.0
Meer,5.0
Mehrfamilienhaus,6.0
Mehrheit,2.0
Meine,3.0
Meister,5.0
Mensch,3.0
Mercedes,4.0
Merkel,4.0
Merz,2.0
Messi,3.0
Metall,6.0
Meter,5.0
Mexiko,3.0
Miami,5.0
Michel,6.0
Michelle,7.0
Mike,3.0
Million,3.0
Mindestlohn,1.0
Ministerium,4.0
Minuten,3.0
Mio,3.0
Miss,3.0
Mitarbeiter,1.0
Mittwoch,7.0
Model,4.0
Moment,3.0
Monaco,1.0
Monat,5.0
Montag,7.0
Moskau,7.0
Motiv,5.0
Motorrad,3.0
Motorradfahrer,1.0
Museum,3.0
Musik,3.0
Musk,6.0
Mädchen,3.0
Mönchengladbach,3.0
Müll,4.0
München,5.0
Münster,5.0
Nachhaltigkeit,5.0
Nacht,3.0
Nadal,5.0
Nahverkehr,2.0
Nato,1.0
Natur,6.0
Netflix,3.0
Netz,3.0
Neuer,3.0
Neun,3.0
Neun-Euro-Ticket,7.0
New,3.0
Niedersachsen,3.0
Nkunku,3.0
Noch,6.0
Norden,5.0
Nordrhein-Westfalen,6.0
Norwegen,1.0
Not,4.0
Novavax,6.0
Nur,5.0
Oberbayern,4.0
Odessa,3.0
Oma,3.0
Omikron,3.0
Osnabrück,4.0
Ostern,7.0
Osteuropa,1.0
Ostsee,7.0
Ostukraine,4.0
Otte,3.0
Pandemie,5.0
Panik,5.0
Panzer,4.0
Papa,1.0
Paralympics,6.0
Paris,3.0
Park,3.0
Parkplatz,3.0
Parlament,6.0
Party,4.0
Peking,7.0
Person,3.0
Peter,3.0
Pfingsten,5.0
Pflicht,5.0
Pilot,3.0
Pistole,3.0
Plus,3.0
Pocher,1.0
Podcast,3.0
Politiker,3.0
Polizei,5.0
Polizist,2.0
Porsche,3.0
Post,7.0
Potsdam,5.0
Premier,3.0
Premiere,3.0
Pressekonferenz,7.0
Prinz,4.0
Produktion,7.0
Profi,3.0
Prognose,7.0
Projekt,6.0
Promille,3.0
Propaganda,5.0
Protest,2.0
Prozent,4.0
Prozess,5.0
Präsident,5.0
Psychiatrie,3.0
Putin,7.0
Quarantäne,3.0
Queen,5.0
Rad,3.0
Rang,3.0
Rangers,1.0
Rapper,7.0
Rassismus,5.0
Rathaus,5.0
Raus,7.0
Recht,3.0
Rechte,5.0
Red,3.0
Rede,7.0
Regen,7.0
Regierungschef,6.0
Rehlinger,2.0
Reif,5.0
Reise,3.0
Reisen,3.0
Relegation,7.0
Remis,4.0
Rentner,5.0
Respekt,4.0
Restaurant,3.0
Rettung,6.0
Reul,1.0
Rhein,3.0
Richter,6.0
Risiko,5.0
Rolle,6.0
Rom,3.0
Ronaldo,1.0
Rostock,7.0
Rote,4.0
Roth,4.0
Rubel,7.0
Rund,3.0
Russen,5.0
Russland,5.0
Rätsel,4.0
Rücken,3.0
Rückzug,1.0
Saarland,7.0
Sachschaden,5.0
Sachsen-Anhalt,5.0
Saison,3.0
Salihamidzic,1.0
Samstag,7.0
Sanierung,4.0
Sanktionen,6.0
Sarah,3.0
Sattelzug,4.0
Saudi-Arabien,5.0
Schalke,6.0
Schatten,3.0
Schau,5.0
Schauspieler,5.0
Schiff,3.0
Schlacht,5.0
Schleswig-Holstein,7.0
Schloss,1.0
Schlägerei,2.0
Schmidt,3.0
Schnee,3.0
Schröder,3.0
Schulden,7.0
Schule,1.0
Schulen,1.0
Schwarz,3.0
Schwerin,3.0
Schwerverletzter,1.0
Schwesig,2.0
Schwester,6.0
Schüler,5.0
Schülern,3.0
Sechs,6.0
See,5.0
Seele,5.0
Seine,5.0
Selenskyj,6.0
Senat,7.0
Senior,3.0
Serie,2.0
Sex,3.0
Shanghai,5.0
Sicherheit,5.0
Sieben,3.0
Sieg,4.0
Siemens,7.0
Signal,3.0
Silber,3.0
Sind,3.0
Skandal,3.0
Smith,2.0
Sohn,1.0
Sommer,4.0
Song,3.0
Sonne,3.0
Sonnenschein,3.0
Spandau,7.0
Spanien,3.0
Spiel,3.0
Spielen,7.0
Spieler,3.0
Spitze,4.0
Sport,3.0
Sprit,7.0
Spur,3.0
Spuren,3.0
St.,5.0
Staat,5.0
Staatsanwalt,2.0
Stadion,1.0
Stadt,3.0
Stadtrat,4.0
Stahlwerk,6.0
Stand,3.0
Star,3.0
Stars,1.0
Steinmeier,1.0
Steuer,3.0
Stimmung,6.0
Straubing,4.0
Straßen,6.0
Stream,5.0
Stress,3.0
Studie,3.0
Studierende,3.0
Stunde,6.0
Sturm,1.0
Sturmflut,2.0
Sturmtief,4.0
Sturz,2.0
Stuttgart,3.0
Städte,3.0
Stürmer,2.0
Suche,7.0
Supermarkt,3.0
Sylt,5.0
Symbol,3.0
Syrien,3.0
Szene,3.0
Süden,4.0
Südwesten,3.0
Süle,2.0
Tag,6.0
Tage,3.0
Talent,3.0
Taliban,3.0
Tankstelle,7.0
Tatort,2.0
Tedesco,4.0
Teenager,7.0
Teil,3.0
Tempo,6.0
Test,4.0
Texas,1.0
The,6.0
Theater,2.0
Thema,7.0
Thioune,1.0
Thomas,3.0
Thüringen,3.0
Thüringer,4.0
Tiefe,1.0
Tiere,4.0
Tisch,3.0
Tod,3.0
Tom,3.0
Top,3.0
Torhüter,2.0
Torwart,7.0
Towers,7.0
Traktor,3.0
Trauer,5.0
Traum,3.0
Trend,6.0
Trikot,3.0
Trotz,3.0
Truppen,5.0
Tschechien,7.0
Tunnel,3.0
Turnier,3.0
Twitter,3.0
Tür,3.0
Türkei,3.0
U-Bahn,3.0
Uhr,3.0
Ukraine,5.0
Ukraine-Konflikt,7.0
Ukraine-Krise,3.0
Ukrainekrieg,7.0
Ukrainer,7.0
Ulm,3.0
Umsatz,1.0
Unbekannte,6.0
Und,4.0
Unfall,3.0
Unglück,5.0
Union,3.0
United,5.0
Unter,3.0
Unternehmen,3.0
Unterricht,3.0
